"-- Please Select --"," -- harap pilih --"
"Add New Class","Tambah Kelas Baru"
"Add New Tax Rate","Tambah Tarif Pajak"
"Add New Tax Rule","Tambah Aturan Pajak Baru"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Apakah anda ingin melakukan ini?"
"Back","Kembali"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Nama Kelas"
"Code","Code"
"Country","Negara"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Negara"
"CSV","CSV"
"Custom price if available","Custom price if available"
"Customer Tax Class","Kelas Pajak Konsumen"
"Customer Tax Class Information","Informasi Kelas Pajak Konsumen"
"Customer Tax Classes","Kelas Pajak Konsumen"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Hapus Kelas"
"Delete Rate","Hapus Tarif"
"Delete Rule","Hapus Aturan"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display full tax summary","Display full tax summary"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Class","Ubah Kelas"
"Edit Class '%s'","Ubah Kelas '%s'"
"Edit Rule","Ubah Aturan"
"Edit Tax Rate","Ubah Tarif Pajak"
"Error while deleting this class. Please try again later.","Error saat menghapus kelas ini. Coba sebentar lagi."
"Error while deleting this rate. Incorrect rate ID","Error saat menghapus tarif ini. ID tarif tidak benar"
"Error while deleting this rate. Please try again later.","Error saat menghapus tarif ini. Coba sebentar lagi."
"Error while deleting this tax rule. Please try again later.","Error saat menghapus aturan pajak ini. Coba sebentar lagi."
"Error while saving this rate. Please try again later.","Error saat menyimpan tarif ini. Coba sebentar lagi."
"Error while saving this tax class. Class with the same name ","Error saat menyimpan kelas pajak ini. Kelas dengan nama yang sama"
"Error while saving this tax class. Please try again later.","Error saat menyimpan kelas pajak ini. Coba sebentar lagi."
"Error while saving this tax rule. Please try again later.","Error saat menyimpan aturan pajak ini. Coba sebentar lagi."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Pajak Tidak Disertakan"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Biaya Ekspor Pajak"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Biaya Impor / Ekspor Pajak"
"Import Tax Rates","Biaya Impor Pajak"
"Inc. Tax","Pajak Disertakan"
"Incl. Tax","Pajak Disertakan"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Biaya Data tidak benar"
"Invalid data for tax rate calculation","Data tidak benar untuk kalkulasi biaya pajak"
"Invalid file format upload attempt","Mencoba meng-upload file dengan format yang tidak valid"
"Invalid file upload attempt","Mencoba meng-upload file yang tidak valid"
"Manage Customer Tax Classes","Mengurus Kelas Pajak Konsumen"
"Manage Product Tax Classes","Mengurus Kelas Pajak Produk"
"Manage Tax Rates","Mengurus Biaya Pajak"
"Manage Tax Rules","Mengurus Aturan Pajak"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","Kelas Baru"
"New Rule","Aturan Baru"
"New Tax Rate","Biaya Pajak Baru"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Pilih Negara"
"Please select County","Pilih Wilayah"
"Please select State","Pilih Negara Bagian"
"Priority","Priority"
"Product Tax Class","Kelas Pajak Produk"
"Product Tax Class Information","Informasi Kelas Pajak Produk"
"Product Tax Classes","Kelas Pajak Produk"
"Rate","Rate"
"Reset","Reset"
"Sales","Penjualan"
"Save Class","Simpan Kelas"
"Save Rate","Simpan  Biaya"
"Save Rule","Simpan Aturan"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","Negara Bagian"
"State/Region","Negara Bagian/Wilayah"
"Tax","Pajak"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax class was successfully deleted","Kelas pajak berhasil dihapus"
"Tax class was successfully saved","Kelas pajak berhasil disimpan"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Biaya Pajak"
"Tax Rate Information","Informasi Biaya Pajak"
"Tax rate was successfully deleted","Biaya pajak berhasil dihapus"
"Tax rate was successfully imported","Biaya pajak berhasil diimpor"
"Tax rate was successfully saved","Biaya pajak berhasil disimpan"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax Rule Information","Informasi Biaya Pajak"
"Tax rule was successfully deleted","Aturan pajak berhasil dihapus"
"Tax rule was successfully saved","Aturan pajak berhasil disimpan"
"Tax Rules","Aturan Pajak"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"This class no longer exists","Kelas ini sudah tidak ada"
"This rule no longer exists","Aturan ini sudah tidak ada"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Anda tidak dapat menghapus kelas pajak ini karena digunakan untuk kelompok konsumen %d."
"You cannot delete this tax class as it is used for %d products.","Anda tidak dapat menghapus kelas pajak ini karena digunakan untuk produk %d"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Anda tidak dapat menghapus kelas pajak ini karena digunakan pada aturan pajak. Anda harus menghapus aturannya terlebih dahulu."
"Zip/Post Code","Kode Pos"
